Account Region,Country,Market,Date,Sum of Count Of SR
US and Canada,Canada,On - Highway,23-03-2019,1
US and Canada,Canada,On - Highway,23-03-2020,1
US and Canada,Canada,On - Highway,23-03-2021,4
US and Canada,Canada,On - Highway,23-03-2022,2
US and Canada,Canada,On - Highway,23-04-2018,3
US and Canada,Canada,On - Highway,23-04-2019,2
US and Canada,Canada,On - Highway,23-04-2020,2
US and Canada,Canada,On - Highway,23-04-2021,2
US and Canada,Canada,On - Highway,23-05-2018,3
US and Canada,Canada,On - Highway,23-05-2019,3
US and Canada,Canada,On - Highway,23-06-2020,1
US and Canada,Canada,On - Highway,23-06-2021,2
US and Canada,Canada,On - Highway,23-06-2022,2
US and Canada,Canada,On - Highway,23-07-2018,2
US and Canada,Canada,On - Highway,23-07-2019,1
US and Canada,Canada,On - Highway,23-07-2020,3
US and Canada,Canada,On - Highway,23-08-2018,3
US and Canada,Canada,On - Highway,23-08-2021,2
US and Canada,Canada,On - Highway,23-09-2019,3
US and Canada,Canada,On - Highway,23-09-2020,2
US and Canada,Canada,On - Highway,23-09-2021,1
US and Canada,Canada,On - Highway,23-09-2022,1
US and Canada,Canada,On - Highway,23-10-2018,2
US and Canada,Canada,On - Highway,23-10-2022,1
US and Canada,Canada,On - Highway,23-11-2018,4
US and Canada,Canada,On - Highway,23-11-2019,1
US and Canada,Canada,On - Highway,23-11-2020,2
US and Canada,Canada,On - Highway,23-11-2021,3
US and Canada,Canada,On - Highway,23-12-2019,3
US and Canada,Canada,On - Highway,23-12-2020,2
US and Canada,Canada,On - Highway,23-12-2021,3
US and Canada,Canada,On - Highway,23-12-2022,1
US and Canada,Canada,On - Highway,24-01-2018,3
US and Canada,Canada,On - Highway,24-01-2019,2
US and Canada,Canada,On - Highway,24-01-2020,1
US and Canada,Canada,On - Highway,24-01-2022,1
US and Canada,Canada,On - Highway,24-01-2023,2
US and Canada,Canada,On - Highway,24-02-2020,3
US and Canada,Canada,On - Highway,24-02-2021,2
US and Canada,Canada,On - Highway,24-02-2022,2
US and Canada,Canada,On - Highway,24-02-2023,2
US and Canada,Canada,On - Highway,24-03-2020,3
US and Canada,Canada,On - Highway,24-03-2021,1
US and Canada,Canada,On - Highway,24-03-2023,1
US and Canada,Canada,On - Highway,24-04-2019,2
US and Canada,Canada,On - Highway,24-04-2022,1
US and Canada,Canada,On - Highway,24-05-2022,1
US and Canada,Canada,On - Highway,24-06-2021,2
US and Canada,Canada,On - Highway,24-06-2022,1
US and Canada,Canada,On - Highway,24-07-2018,4
US and Canada,Canada,On - Highway,24-07-2019,1
US and Canada,Canada,On - Highway,24-07-2020,1
US and Canada,Canada,On - Highway,24-08-2020,3
US and Canada,Canada,On - Highway,24-09-2018,1
US and Canada,Canada,On - Highway,24-09-2019,1
US and Canada,Canada,On - Highway,24-09-2021,2
US and Canada,Canada,On - Highway,24-10-2018,3
US and Canada,Canada,On - Highway,24-10-2019,2
US and Canada,Canada,On - Highway,24-10-2022,1
US and Canada,Canada,On - Highway,24-11-2018,1
US and Canada,Canada,On - Highway,24-11-2020,1
US and Canada,Canada,On - Highway,24-11-2021,4
US and Canada,Canada,On - Highway,24-11-2022,2
US and Canada,Canada,On - Highway,24-12-2019,1
US and Canada,Canada,On - Highway,25-01-2018,1
US and Canada,Canada,On - Highway,25-01-2019,3
US and Canada,Canada,On - Highway,25-01-2020,2
US and Canada,Canada,On - Highway,25-01-2021,3
US and Canada,Canada,On - Highway,25-01-2022,4
US and Canada,Canada,On - Highway,25-01-2023,1
US and Canada,Canada,On - Highway,25-02-2019,5
US and Canada,Canada,On - Highway,25-02-2020,1
US and Canada,Canada,On - Highway,25-02-2021,2
US and Canada,Canada,On - Highway,25-03-2019,1
US and Canada,Canada,On - Highway,25-03-2020,6
US and Canada,Canada,On - Highway,25-03-2021,3
US and Canada,Canada,On - Highway,25-03-2022,3
US and Canada,Canada,On - Highway,25-04-2018,1
US and Canada,Canada,On - Highway,25-04-2022,2
US and Canada,Canada,On - Highway,25-05-2018,2
US and Canada,Canada,On - Highway,25-05-2020,2
US and Canada,Canada,On - Highway,25-05-2021,5
US and Canada,Canada,On - Highway,25-05-2022,1
US and Canada,Canada,On - Highway,25-06-2018,1
US and Canada,Canada,On - Highway,25-06-2019,1
US and Canada,Canada,On - Highway,25-06-2021,1
US and Canada,Canada,On - Highway,25-07-2018,3
US and Canada,Canada,On - Highway,25-07-2019,1
US and Canada,Canada,On - Highway,25-07-2020,1
US and Canada,Canada,On - Highway,25-07-2022,1
US and Canada,Canada,On - Highway,25-08-2021,3
US and Canada,Canada,On - Highway,25-08-2022,4
US and Canada,Canada,On - Highway,25-09-2018,1
US and Canada,Canada,On - Highway,25-09-2019,1
US and Canada,Canada,On - Highway,25-09-2020,2
US and Canada,Canada,On - Highway,25-10-2018,1
US and Canada,Canada,On - Highway,25-10-2019,1
US and Canada,Canada,On - Highway,25-10-2021,1
US and Canada,Canada,On - Highway,25-10-2022,3
US and Canada,Canada,On - Highway,25-11-2019,2
US and Canada,Canada,On - Highway,25-11-2020,1
US and Canada,Canada,On - Highway,25-11-2021,4
US and Canada,Canada,On - Highway,25-11-2022,1
US and Canada,Canada,On - Highway,26-01-2018,1
US and Canada,Canada,On - Highway,26-01-2021,3
US and Canada,Canada,On - Highway,26-01-2022,1
US and Canada,Canada,On - Highway,26-01-2023,2
US and Canada,Canada,On - Highway,26-02-2018,2
US and Canada,Canada,On - Highway,26-02-2020,2
US and Canada,Canada,On - Highway,26-02-2021,4
US and Canada,Canada,On - Highway,26-03-2018,1
US and Canada,Canada,On - Highway,26-03-2020,2
US and Canada,Canada,On - Highway,26-03-2021,3
US and Canada,Canada,On - Highway,26-04-2019,1
US and Canada,Canada,On - Highway,26-04-2021,1
US and Canada,Canada,On - Highway,26-04-2022,2
US and Canada,Canada,On - Highway,26-05-2020,1
US and Canada,Canada,On - Highway,26-05-2021,1
US and Canada,Canada,On - Highway,26-05-2022,1
US and Canada,Canada,On - Highway,26-06-2018,4
US and Canada,Canada,On - Highway,26-06-2019,1
US and Canada,Canada,On - Highway,26-07-2018,1
US and Canada,Canada,On - Highway,26-07-2019,4
US and Canada,Canada,On - Highway,26-07-2021,1
US and Canada,Canada,On - Highway,26-07-2022,2
US and Canada,Canada,On - Highway,26-08-2019,2
US and Canada,Canada,On - Highway,26-08-2020,4
US and Canada,Canada,On - Highway,26-08-2021,2
US and Canada,Canada,On - Highway,26-08-2022,1
US and Canada,Canada,On - Highway,26-09-2018,1
US and Canada,Canada,On - Highway,26-09-2019,1
US and Canada,Canada,On - Highway,26-10-2018,1
US and Canada,Canada,On - Highway,26-10-2021,2
US and Canada,Canada,On - Highway,26-11-2018,2
US and Canada,Canada,On - Highway,26-11-2019,1
US and Canada,Canada,On - Highway,26-11-2020,2
US and Canada,Canada,On - Highway,26-11-2021,3
US and Canada,Canada,On - Highway,27-01-2020,4
US and Canada,Canada,On - Highway,27-01-2021,3
US and Canada,Canada,On - Highway,27-01-2022,1
US and Canada,Canada,On - Highway,27-01-2023,4
US and Canada,Canada,On - Highway,27-02-2018,2
US and Canada,Canada,On - Highway,27-02-2019,2
US and Canada,Canada,On - Highway,27-02-2020,3
US and Canada,Canada,On - Highway,27-02-2023,1
US and Canada,Canada,On - Highway,27-03-2018,4
US and Canada,Canada,On - Highway,27-03-2019,3
US and Canada,Canada,On - Highway,27-03-2020,1
US and Canada,Canada,On - Highway,27-03-2023,2
US and Canada,Canada,On - Highway,27-04-2018,1
US and Canada,Canada,On - Highway,27-04-2019,1
US and Canada,Canada,On - Highway,27-04-2020,3
US and Canada,Canada,On - Highway,27-04-2021,4
US and Canada,Canada,On - Highway,27-04-2022,1
US and Canada,Canada,On - Highway,27-05-2021,3
US and Canada,Canada,On - Highway,27-05-2022,1
US and Canada,Canada,On - Highway,27-06-2018,1
US and Canada,Canada,On - Highway,27-06-2020,1
US and Canada,Canada,On - Highway,27-06-2021,1
US and Canada,Canada,On - Highway,27-06-2022,3
US and Canada,Canada,On - Highway,27-07-2020,2
US and Canada,Canada,On - Highway,27-07-2021,4
US and Canada,Canada,On - Highway,27-07-2022,1
US and Canada,Canada,On - Highway,27-08-2018,3
US and Canada,Canada,On - Highway,27-08-2019,2
US and Canada,Canada,On - Highway,27-08-2020,3
US and Canada,Canada,On - Highway,27-08-2021,1
US and Canada,Canada,On - Highway,27-09-2019,1
US and Canada,Canada,On - Highway,27-09-2021,1
US and Canada,Canada,On - Highway,27-10-2018,1
US and Canada,Canada,On - Highway,27-10-2020,1
US and Canada,Canada,On - Highway,27-10-2021,3
US and Canada,Canada,On - Highway,27-10-2022,2
US and Canada,Canada,On - Highway,27-11-2018,1
US and Canada,Canada,On - Highway,27-11-2020,2
US and Canada,Canada,On - Highway,27-12-2018,1
US and Canada,Canada,On - Highway,27-12-2019,2
US and Canada,Canada,On - Highway,27-12-2022,1
US and Canada,Canada,On - Highway,28-01-2019,1
US and Canada,Canada,On - Highway,28-01-2020,4
US and Canada,Canada,On - Highway,28-01-2021,2
US and Canada,Canada,On - Highway,28-01-2022,2
US and Canada,Canada,On - Highway,28-02-2018,1
US and Canada,Canada,On - Highway,28-02-2019,4
US and Canada,Canada,On - Highway,28-02-2020,1
US and Canada,Canada,On - Highway,28-02-2022,3
US and Canada,Canada,On - Highway,28-03-2018,4
US and Canada,Canada,On - Highway,28-03-2019,1
US and Canada,Canada,On - Highway,28-03-2022,3
US and Canada,Canada,On - Highway,28-03-2023,1
US and Canada,Canada,On - Highway,28-04-2018,1
US and Canada,Canada,On - Highway,28-04-2020,4
US and Canada,Canada,On - Highway,28-04-2021,4
US and Canada,Canada,On - Highway,28-04-2022,1
US and Canada,Canada,On - Highway,28-05-2018,1
US and Canada,Canada,On - Highway,28-05-2019,2
US and Canada,Canada,On - Highway,28-05-2020,1
US and Canada,Canada,On - Highway,28-05-2021,1
US and Canada,Canada,On - Highway,28-06-2018,5
US and Canada,Canada,On - Highway,28-06-2019,1
US and Canada,Canada,On - Highway,28-06-2021,4
US and Canada,Canada,On - Highway,28-06-2022,1
US and Canada,Canada,On - Highway,28-07-2020,1
US and Canada,Canada,On - Highway,28-07-2021,2
US and Canada,Canada,On - Highway,28-07-2022,2
US and Canada,Canada,On - Highway,28-08-2018,1
US and Canada,Canada,On - Highway,28-08-2019,1
US and Canada,Canada,On - Highway,28-08-2020,2
US and Canada,Canada,On - Highway,28-09-2018,1
US and Canada,Canada,On - Highway,28-09-2020,2
US and Canada,Canada,On - Highway,28-09-2021,2
US and Canada,Canada,On - Highway,28-09-2022,2
US and Canada,Canada,On - Highway,28-10-2019,1
US and Canada,Canada,On - Highway,28-10-2020,1
US and Canada,Canada,On - Highway,28-11-2019,1
US and Canada,Canada,On - Highway,28-11-2022,2
US and Canada,Canada,On - Highway,28-12-2018,1
US and Canada,Canada,On - Highway,29-01-2018,1
US and Canada,Canada,On - Highway,29-01-2019,2
US and Canada,Canada,On - Highway,29-01-2020,4
US and Canada,Canada,On - Highway,29-03-2018,2
US and Canada,Canada,On - Highway,29-03-2019,4
US and Canada,Canada,On - Highway,29-03-2021,5
US and Canada,Canada,On - Highway,29-03-2022,3
US and Canada,Canada,On - Highway,29-04-2019,2
US and Canada,Canada,On - Highway,29-04-2020,3
US and Canada,Canada,On - Highway,29-04-2022,1
US and Canada,Canada,On - Highway,29-05-2018,3
US and Canada,Canada,On - Highway,29-05-2019,6
US and Canada,Canada,On - Highway,29-05-2020,1
US and Canada,Canada,On - Highway,29-06-2018,1
US and Canada,Canada,On - Highway,29-06-2020,1
US and Canada,Canada,On - Highway,29-06-2021,1
US and Canada,Canada,On - Highway,29-06-2022,1
US and Canada,Canada,On - Highway,29-07-2019,1
US and Canada,Canada,On - Highway,29-07-2020,3
US and Canada,Canada,On - Highway,29-07-2021,2
US and Canada,Canada,On - Highway,29-07-2022,1
US and Canada,Canada,On - Highway,29-08-2018,2
US and Canada,Canada,On - Highway,29-08-2019,1
US and Canada,Canada,On - Highway,29-09-2020,1
US and Canada,Canada,On - Highway,29-09-2021,1
US and Canada,Canada,On - Highway,29-09-2022,1
US and Canada,Canada,On - Highway,29-10-2018,2
US and Canada,Canada,On - Highway,29-10-2020,2
US and Canada,Canada,On - Highway,29-10-2021,1
US and Canada,Canada,On - Highway,29-11-2018,1
US and Canada,Canada,On - Highway,29-11-2019,1
US and Canada,Canada,On - Highway,29-11-2021,2
US and Canada,Canada,On - Highway,29-11-2022,2
US and Canada,Canada,On - Highway,29-12-2022,2
US and Canada,Canada,On - Highway,30-01-2018,3
US and Canada,Canada,On - Highway,30-01-2021,1
US and Canada,Canada,On - Highway,30-01-2023,2
US and Canada,Canada,On - Highway,30-03-2019,1
US and Canada,Canada,On - Highway,30-03-2020,2
US and Canada,Canada,On - Highway,30-03-2021,3
US and Canada,Canada,On - Highway,30-03-2022,3
US and Canada,Canada,On - Highway,30-03-2023,1
US and Canada,Canada,On - Highway,30-04-2019,2
US and Canada,Canada,On - Highway,30-05-2018,2
US and Canada,Canada,On - Highway,30-05-2019,1
US and Canada,Canada,On - Highway,30-05-2022,1
US and Canada,Canada,On - Highway,30-06-2020,2
US and Canada,Canada,On - Highway,30-06-2021,5
US and Canada,Canada,On - Highway,30-06-2022,2
US and Canada,Canada,On - Highway,30-07-2019,3
US and Canada,Canada,On - Highway,30-07-2020,1
US and Canada,Canada,On - Highway,30-07-2021,1
US and Canada,Canada,On - Highway,30-08-2018,4
US and Canada,Canada,On - Highway,30-08-2019,1
US and Canada,Canada,On - Highway,30-08-2021,2
US and Canada,Canada,On - Highway,30-08-2022,2
US and Canada,Canada,On - Highway,30-09-2019,3
US and Canada,Canada,On - Highway,30-09-2021,1
US and Canada,Canada,On - Highway,30-09-2022,1
US and Canada,Canada,On - Highway,30-10-2018,1
US and Canada,Canada,On - Highway,30-10-2019,2
US and Canada,Canada,On - Highway,30-10-2020,1
US and Canada,Canada,On - Highway,30-11-2019,1
US and Canada,Canada,On - Highway,30-11-2020,1
US and Canada,Canada,On - Highway,30-11-2021,2
US and Canada,Canada,On - Highway,30-11-2022,1
US and Canada,Canada,On - Highway,30-12-2019,2
US and Canada,Canada,On - Highway,30-12-2021,1
US and Canada,Canada,On - Highway,31-01-2018,1
US and Canada,Canada,On - Highway,31-01-2020,4
US and Canada,Canada,On - Highway,31-01-2022,2
US and Canada,Canada,On - Highway,31-01-2023,1
US and Canada,Canada,On - Highway,31-03-2019,1
US and Canada,Canada,On - Highway,31-03-2020,1
US and Canada,Canada,On - Highway,31-03-2021,2
US and Canada,Canada,On - Highway,31-03-2022,2
US and Canada,Canada,On - Highway,31-05-2018,2
US and Canada,Canada,On - Highway,31-05-2019,1
US and Canada,Canada,On - Highway,31-05-2021,2
US and Canada,Canada,On - Highway,31-05-2022,1
US and Canada,Canada,On - Highway,31-07-2018,3
US and Canada,Canada,On - Highway,31-07-2020,2
US and Canada,Canada,On - Highway,31-08-2019,1
US and Canada,Canada,On - Highway,31-08-2020,2
US and Canada,Canada,On - Highway,31-08-2021,1
US and Canada,Canada,On - Highway,31-10-2018,3
US and Canada,Canada,On - Highway,31-10-2019,1
US and Canada,Canada,On - Highway,31-10-2022,2
US and Canada,Canada,On - Highway,31-12-2020,2
US and Canada,Canada,Power Gen,01-02-2018,2
US and Canada,Canada,Power Gen,01-02-2022,2
US and Canada,Canada,Power Gen,01-02-2023,1
US and Canada,Canada,Power Gen,01-03-2018,2
US and Canada,Canada,Power Gen,01-03-2021,1
US and Canada,Canada,Power Gen,01-04-2020,2
US and Canada,Canada,Power Gen,01-05-2018,2
US and Canada,Canada,Power Gen,01-05-2019,2
US and Canada,Canada,Power Gen,01-05-2020,1
US and Canada,Canada,Power Gen,01-09-2022,2
US and Canada,Canada,Power Gen,01-10-2018,1
US and Canada,Canada,Power Gen,01-11-2022,1
US and Canada,Canada,Power Gen,01-12-2021,1
US and Canada,Canada,Power Gen,01-12-2022,1
US and Canada,Canada,Power Gen,02-01-2018,1
US and Canada,Canada,Power Gen,02-01-2019,1
US and Canada,Canada,Power Gen,02-02-2022,1
US and Canada,Canada,Power Gen,02-02-2023,1
US and Canada,Canada,Power Gen,02-03-2020,3
US and Canada,Canada,Power Gen,02-03-2022,4
US and Canada,Canada,Power Gen,02-03-2023,2
US and Canada,Canada,Power Gen,02-05-2018,1
US and Canada,Canada,Power Gen,02-05-2022,1
US and Canada,Canada,Power Gen,02-06-2020,1
US and Canada,Canada,Power Gen,02-06-2021,2
US and Canada,Canada,Power Gen,02-09-2020,1
US and Canada,Canada,Power Gen,02-09-2022,1
US and Canada,Canada,Power Gen,02-10-2018,1
US and Canada,Canada,Power Gen,02-10-2019,2
US and Canada,Canada,Power Gen,02-10-2020,3
US and Canada,Canada,Power Gen,02-12-2020,1
US and Canada,Canada,Power Gen,02-12-2022,1
US and Canada,Canada,Power Gen,03-02-2022,1
US and Canada,Canada,Power Gen,03-02-2023,1
US and Canada,Canada,Power Gen,03-03-2020,2
US and Canada,Canada,Power Gen,03-03-2021,1
US and Canada,Canada,Power Gen,03-04-2019,1
US and Canada,Canada,Power Gen,03-05-2019,2
US and Canada,Canada,Power Gen,03-05-2021,1
US and Canada,Canada,Power Gen,03-05-2022,1
US and Canada,Canada,Power Gen,03-06-2019,1
US and Canada,Canada,Power Gen,03-06-2020,1
US and Canada,Canada,Power Gen,03-06-2021,1
US and Canada,Canada,Power Gen,03-06-2022,1
US and Canada,Canada,Power Gen,03-07-2020,1
US and Canada,Canada,Power Gen,03-09-2020,1
US and Canada,Canada,Power Gen,03-10-2018,1
US and Canada,Canada,Power Gen,03-10-2019,1
US and Canada,Canada,Power Gen,03-10-2022,1
US and Canada,Canada,Power Gen,03-11-2020,3
US and Canada,Canada,Power Gen,03-11-2022,1
US and Canada,Canada,Power Gen,03-12-2018,2
US and Canada,Canada,Power Gen,03-12-2020,2
US and Canada,Canada,Power Gen,04-01-2018,1
US and Canada,Canada,Power Gen,04-01-2019,1
US and Canada,Canada,Power Gen,04-01-2021,1
US and Canada,Canada,Power Gen,04-01-2022,1
US and Canada,Canada,Power Gen,04-01-2023,2
US and Canada,Canada,Power Gen,04-02-2019,1
US and Canada,Canada,Power Gen,04-02-2021,1
US and Canada,Canada,Power Gen,04-03-2019,1
US and Canada,Canada,Power Gen,04-04-2019,2
US and Canada,Canada,Power Gen,04-04-2022,2
US and Canada,Canada,Power Gen,04-05-2021,1
US and Canada,Canada,Power Gen,04-06-2018,1
US and Canada,Canada,Power Gen,04-06-2019,2
US and Canada,Canada,Power Gen,04-06-2020,1
US and Canada,Canada,Power Gen,04-08-2020,2
US and Canada,Canada,Power Gen,04-08-2021,1
US and Canada,Canada,Power Gen,04-08-2022,1
US and Canada,Canada,Power Gen,04-09-2018,1
US and Canada,Canada,Power Gen,04-09-2019,1
US and Canada,Canada,Power Gen,04-10-2018,1
US and Canada,Canada,Power Gen,04-10-2022,2
US and Canada,Canada,Power Gen,04-11-2020,2
US and Canada,Canada,Power Gen,04-11-2022,1
US and Canada,Canada,Power Gen,04-12-2018,1
US and Canada,Canada,Power Gen,04-12-2019,1
US and Canada,Canada,Power Gen,05-01-2018,1
US and Canada,Canada,Power Gen,05-01-2021,1
US and Canada,Canada,Power Gen,05-01-2023,2
US and Canada,Canada,Power Gen,05-02-2021,1
US and Canada,Canada,Power Gen,05-04-2018,1
US and Canada,Canada,Power Gen,05-05-2020,1
US and Canada,Canada,Power Gen,05-06-2018,1
US and Canada,Canada,Power Gen,05-06-2019,2
US and Canada,Canada,Power Gen,05-06-2020,1
US and Canada,Canada,Power Gen,05-07-2019,1
US and Canada,Canada,Power Gen,05-07-2022,1
US and Canada,Canada,Power Gen,05-08-2020,1
US and Canada,Canada,Power Gen,05-08-2022,2
US and Canada,Canada,Power Gen,05-09-2018,3
US and Canada,Canada,Power Gen,05-09-2019,1
US and Canada,Canada,Power Gen,05-10-2018,1
US and Canada,Canada,Power Gen,05-10-2021,1
US and Canada,Canada,Power Gen,05-11-2018,2
US and Canada,Canada,Power Gen,05-12-2018,1
US and Canada,Canada,Power Gen,06-01-2022,1
US and Canada,Canada,Power Gen,06-01-2023,1
US and Canada,Canada,Power Gen,06-02-2018,1
US and Canada,Canada,Power Gen,06-02-2020,1
US and Canada,Canada,Power Gen,06-02-2023,2
US and Canada,Canada,Power Gen,06-03-2018,1
US and Canada,Canada,Power Gen,06-03-2023,1
US and Canada,Canada,Power Gen,06-04-2018,1
US and Canada,Canada,Power Gen,06-04-2022,1
US and Canada,Canada,Power Gen,06-05-2019,1
US and Canada,Canada,Power Gen,06-05-2021,1
US and Canada,Canada,Power Gen,06-06-2018,2
US and Canada,Canada,Power Gen,06-06-2022,1
US and Canada,Canada,Power Gen,06-07-2018,1
US and Canada,Canada,Power Gen,06-08-2018,1
US and Canada,Canada,Power Gen,06-08-2019,1
US and Canada,Canada,Power Gen,06-08-2020,1
US and Canada,Canada,Power Gen,06-08-2021,2
US and Canada,Canada,Power Gen,06-09-2019,1
US and Canada,Canada,Power Gen,06-10-2022,1
US and Canada,Canada,Power Gen,06-11-2019,1
US and Canada,Canada,Power Gen,06-12-2018,2
US and Canada,Canada,Power Gen,06-12-2019,2
US and Canada,Canada,Power Gen,06-12-2022,3
US and Canada,Canada,Power Gen,07-01-2020,1
US and Canada,Canada,Power Gen,07-01-2021,1
US and Canada,Canada,Power Gen,07-01-2022,1
US and Canada,Canada,Power Gen,07-02-2018,1
US and Canada,Canada,Power Gen,07-02-2022,1
US and Canada,Canada,Power Gen,07-03-2018,1
US and Canada,Canada,Power Gen,07-03-2019,1
US and Canada,Canada,Power Gen,07-03-2022,1
US and Canada,Canada,Power Gen,07-04-2021,1
US and Canada,Canada,Power Gen,07-04-2022,1
US and Canada,Canada,Power Gen,07-05-2018,2
US and Canada,Canada,Power Gen,07-05-2020,2
US and Canada,Canada,Power Gen,07-06-2021,1
US and Canada,Canada,Power Gen,07-06-2022,2
US and Canada,Canada,Power Gen,07-07-2020,2
US and Canada,Canada,Power Gen,07-07-2021,1
US and Canada,Canada,Power Gen,07-07-2022,1
US and Canada,Canada,Power Gen,07-08-2018,2
US and Canada,Canada,Power Gen,07-08-2020,1
US and Canada,Canada,Power Gen,07-10-2019,1
US and Canada,Canada,Power Gen,07-10-2020,1
US and Canada,Canada,Power Gen,07-10-2022,1
US and Canada,Canada,Power Gen,07-12-2018,1
US and Canada,Canada,Power Gen,07-12-2020,1
US and Canada,Canada,Power Gen,07-12-2021,1
US and Canada,Canada,Power Gen,07-12-2022,1
US and Canada,Canada,Power Gen,08-01-2018,1
US and Canada,Canada,Power Gen,08-01-2019,2
US and Canada,Canada,Power Gen,08-01-2021,1
US and Canada,Canada,Power Gen,08-02-2019,1
US and Canada,Canada,Power Gen,08-02-2021,2
US and Canada,Canada,Power Gen,08-02-2022,1
US and Canada,Canada,Power Gen,08-02-2023,1
US and Canada,Canada,Power Gen,08-03-2019,2
US and Canada,Canada,Power Gen,08-04-2021,1
US and Canada,Canada,Power Gen,08-04-2022,1
US and Canada,Canada,Power Gen,08-05-2018,1
US and Canada,Canada,Power Gen,08-05-2020,1
US and Canada,Canada,Power Gen,08-06-2020,1
US and Canada,Canada,Power Gen,08-06-2021,1
US and Canada,Canada,Power Gen,08-07-2022,1
US and Canada,Canada,Power Gen,08-09-2022,1
US and Canada,Canada,Power Gen,08-10-2019,1
US and Canada,Canada,Power Gen,08-10-2020,1
US and Canada,Canada,Power Gen,08-10-2021,1
US and Canada,Canada,Power Gen,08-11-2021,1
US and Canada,Canada,Power Gen,08-11-2022,1
US and Canada,Canada,Power Gen,08-12-2020,1
US and Canada,Canada,Power Gen,08-12-2022,1
US and Canada,Canada,Power Gen,09-01-2020,1
US and Canada,Canada,Power Gen,09-01-2022,1
US and Canada,Canada,Power Gen,09-02-2018,3
US and Canada,Canada,Power Gen,09-02-2022,1
US and Canada,Canada,Power Gen,09-03-2018,1
US and Canada,Canada,Power Gen,09-03-2020,1
US and Canada,Canada,Power Gen,09-03-2021,1
US and Canada,Canada,Power Gen,09-05-2018,1
US and Canada,Canada,Power Gen,09-05-2019,1
US and Canada,Canada,Power Gen,09-05-2021,1
US and Canada,Canada,Power Gen,09-05-2022,2
US and Canada,Canada,Power Gen,09-06-2021,1
US and Canada,Canada,Power Gen,09-07-2018,1
US and Canada,Canada,Power Gen,09-07-2019,1
US and Canada,Canada,Power Gen,09-08-2018,1
US and Canada,Canada,Power Gen,09-08-2019,1
US and Canada,Canada,Power Gen,09-09-2020,2
US and Canada,Canada,Power Gen,09-09-2022,1
US and Canada,Canada,Power Gen,09-10-2018,1
US and Canada,Canada,Power Gen,09-11-2021,1
US and Canada,Canada,Power Gen,09-12-2020,2
US and Canada,Canada,Power Gen,09-12-2021,1
US and Canada,Canada,Power Gen,09-12-2022,1
US and Canada,Canada,Power Gen,10-01-2023,1
US and Canada,Canada,Power Gen,10-02-2020,1
US and Canada,Canada,Power Gen,10-02-2021,2
US and Canada,Canada,Power Gen,10-03-2021,1
US and Canada,Canada,Power Gen,10-03-2022,1
US and Canada,Canada,Power Gen,10-05-2018,2
US and Canada,Canada,Power Gen,10-05-2019,1
US and Canada,Canada,Power Gen,10-06-2019,2
US and Canada,Canada,Power Gen,10-06-2020,1
US and Canada,Canada,Power Gen,10-06-2022,1
US and Canada,Canada,Power Gen,10-07-2018,1
US and Canada,Canada,Power Gen,10-07-2019,2
US and Canada,Canada,Power Gen,10-08-2018,1
US and Canada,Canada,Power Gen,10-08-2020,2
US and Canada,Canada,Power Gen,10-08-2021,1
US and Canada,Canada,Power Gen,10-09-2018,2
US and Canada,Canada,Power Gen,10-09-2020,1
US and Canada,Canada,Power Gen,10-09-2021,1
US and Canada,Canada,Power Gen,10-10-2019,2
US and Canada,Canada,Power Gen,10-11-2018,1
US and Canada,Canada,Power Gen,10-11-2021,1
US and Canada,Canada,Power Gen,10-12-2019,1
US and Canada,Canada,Power Gen,10-12-2020,3
US and Canada,Canada,Power Gen,11-01-2018,1
US and Canada,Canada,Power Gen,11-01-2019,1
US and Canada,Canada,Power Gen,11-01-2023,1
US and Canada,Canada,Power Gen,11-02-2019,1
US and Canada,Canada,Power Gen,11-02-2021,1
US and Canada,Canada,Power Gen,11-02-2022,1
US and Canada,Canada,Power Gen,11-03-2021,1
US and Canada,Canada,Power Gen,11-03-2022,1
US and Canada,Canada,Power Gen,11-04-2022,1
US and Canada,Canada,Power Gen,11-06-2020,1
US and Canada,Canada,Power Gen,11-06-2021,1
US and Canada,Canada,Power Gen,11-07-2018,2
US and Canada,Canada,Power Gen,11-07-2020,1
US and Canada,Canada,Power Gen,11-08-2022,1
US and Canada,Canada,Power Gen,11-09-2020,2
US and Canada,Canada,Power Gen,11-10-2018,1
US and Canada,Canada,Power Gen,11-10-2019,1
US and Canada,Canada,Power Gen,11-11-2022,1
US and Canada,Canada,Power Gen,11-12-2018,1
US and Canada,Canada,Power Gen,11-12-2019,1
US and Canada,Canada,Power Gen,11-12-2020,1
US and Canada,Canada,Power Gen,12-01-2018,1
US and Canada,Canada,Power Gen,12-01-2020,1
US and Canada,Canada,Power Gen,12-01-2021,2
US and Canada,Canada,Power Gen,12-01-2022,2
US and Canada,Canada,Power Gen,12-02-2021,1
US and Canada,Canada,Power Gen,12-03-2018,3
US and Canada,Canada,Power Gen,12-03-2022,1
US and Canada,Canada,Power Gen,12-04-2021,1
US and Canada,Canada,Power Gen,12-06-2018,1
US and Canada,Canada,Power Gen,12-06-2020,1
US and Canada,Canada,Power Gen,12-07-2018,1
US and Canada,Canada,Power Gen,12-07-2019,1
US and Canada,Canada,Power Gen,12-08-2020,1
US and Canada,Canada,Power Gen,12-12-2018,3
US and Canada,Canada,Power Gen,12-12-2022,1
US and Canada,Canada,Power Gen,13-01-2021,1
